;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
5476;SE;Västerbotten;SE0059A;63.8288569996,20.258492;NO2;EEA Sweden;µg/m³;2.983;2021-08-06T12:00:00+02:00;Sweden
5477;AU;South West Queensland;Miles Airport;-26.8088,150.1799;PM10;Australia - Queensland;µg/m³;5.0;2021-08-06T13:00:00+02:00;Australia
5478;AU;Wangaratta;Wangaratta;-36.36926,146.3133;PM2.5;Australia - Victoria;µg/m³;2.11;2021-08-06T12:00:00+02:00;Australia
5479;BE;Hainaut;BETR502;50.428995,4.458681;O3;EEA Belgium;µg/m³;50.0;2021-08-06T03:00:00+02:00;Belgium
5480;BE;Hainaut;BETN060;50.6167184022,3.45762442718;NO2;EEA Belgium;µg/m³;8.5;2021-08-06T03:00:00+02:00;Belgium
5481;BE;West-Vlaanderen;BETN029;51.01628,2.582323;PM2.5;EEA Belgium;µg/m³;4.5;2021-08-06T03:00:00+02:00;Belgium
5482;BG;Смолян;BG0053R;41.694342,24.738078;SO2;EEA Bulgaria;µg/m³;6.0;2021-08-06T12:00:00+02:00;Bulgaria
5483;BG;Стара Загора;BG0055A;42.432356,25.637389;O3;EEA Bulgaria;µg/m³;75.38;2021-08-06T12:00:00+02:00;Bulgaria
5484;BR;Tatuí;Tatuí;-23.36075154,-47.87079907;O3;Sao Paulo CETESB;µg/m³;31.0;2021-08-06T14:00:00+02:00;Brazil
5485;BR;Piracicaba;Piracicaba;-22.70122234,-47.64965269;NO2;Sao Paulo CETESB;µg/m³;20.0;2021-08-06T14:00:00+02:00;Brazil
5486;BR;Presidente Prudente;Presidente Prudente;-22.11993673,-51.40877707;O3;Sao Paulo CETESB;µg/m³;28.0;2021-08-06T14:00:00+02:00;Brazil
5487;BR;São Caetano do Sul;São Caetano do Sul;-23.61844277,-46.55635394;CO;Sao Paulo CETESB;ppm;0.4;2021-08-06T14:00:00+02:00;Brazil
5488;CA;ONTARIO;Chatham;42.4033,-82.2086;PM2.5;AirNow;µg/m³;30.0;2021-08-06T13:00:00+02:00;Canada
5489;CA;NOVA SCOTIA;Kejimkujik Site B;44.40298,-65.20277;O3;AirNow;ppm;0.024;2021-08-06T13:00:00+02:00;Canada
5491;CH;Ticino;CH0043A;46.0258957257,8.96752215525;O3;EEA Switzerland;µg/m³;84.8184;2021-08-06T13:00:00+02:00;Switzerland
5492;CL;El Bosque;El Bosque;-33.5470996456,-70.6662041019;PM2.5;Chile - SINCA;µg/m³;86.0;2021-08-06T13:00:00+02:00;Chile
5493;CL;La Florida;La Florida;-33.5166303623,-70.588123962;CO;Chile - SINCA;µg/m³;1751.54;2021-08-06T14:00:00+02:00;Chile
5494;CL;Rancagua;Rancagua I;-34.1623146091,-70.7139192255;PM2.5;Chile - SINCA;µg/m³;93.0;2021-08-06T13:00:00+02:00;Chile
5495;CL;Calama;Estación Centro;-22.4621446446,-68.9280616934;CO;Chile - SINCA;µg/m³;325.73;2021-08-06T13:00:00+02:00;Chile
5496;CL;Talcahuano;Consultorio - San Vicente;-36.7236951418,-73.1236588652;NO2;Chile - SINCA;µg/m³;22.52;2021-08-06T13:00:00+02:00;Chile
5497;CL;Quintero;Loncura;-32.7949684173,-71.4960990731;CO;Chile - SINCA;µg/m³;320.54;2021-08-06T13:00:00+02:00;Chile
5498;CZ;Moravskoslezský;CZ0TOCB;49.8398475647,18.28997612;CO;EEA Czech Republic;µg/m³;312.0;2021-08-06T11:00:00+02:00;Czech Republic
5499;CZ;Ústecký;CZ0ULOM;50.5857658386,13.673418045;SO2;EEA Czech Republic;µg/m³;27.7;2021-08-06T11:00:00+02:00;Czech Republic
5500;DK;Sjælland;DK0012R;55.6941046894,12.0886287784;NO2;EEA Denmark;µg/m³;1.52;2021-08-06T13:00:00+02:00;Denmark
5501;EE;Jõgevamaa;EE0016A;58.7027778595,26.75889778;SO2;EEA Estonia;µg/m³;1.55127;2021-08-06T14:00:00+02:00;Estonia
5502;EE;Ida-Virumaa;EE0022A;59.3761713409,28.179162316;PM10;EEA Estonia;µg/m³;9.2;2021-08-06T14:00:00+02:00;Estonia
5503;FI;Southwest Finland;FI00349;59.7792299995,21.37395;SO2;EEA Finland;µg/m³;0.3167716;2021-08-06T13:00:00+02:00;Finland
5504;GB;Southampton;Southampton - City Centre AURN;50.908158,-1.395776;NO2;London Air Quality Network;µg/m³;32.0;2021-08-06T13:00:00+02:00;United Kingdom
5505;GB;Middlesbrough;Middlesbrough;54.569297,-1.220874;PM2.5;DEFRA;µg/m³;4.0;2021-08-06T13:00:00+02:00;United Kingdom
5506;GB;Port Talbot;Port Talbot Margam;51.58395,-3.770822;SO2;DEFRA;µg/m³;1.0;2021-08-06T13:00:00+02:00;United Kingdom
5507;GB;Wigan;Wigan Centre;53.54914,-2.638139;PM10;DEFRA;µg/m³;9.0;2021-08-06T13:00:00+02:00;United Kingdom
5508;GB;Wigan;Wigan Centre;53.54914,-2.638139;NO2;DEFRA;µg/m³;7.0;2021-08-06T13:00:00+02:00;United Kingdom
5509;GB;Lough Navar;Lough Navar;54.43951,-7.900328;PM10;DEFRA;µg/m³;4.0;2021-08-06T13:00:00+02:00;United Kingdom
5510;GB;Stockton-on-Tees;Stockton-on-Tees A1305 Roadside;54.565819,-1.3159;NO2;DEFRA;µg/m³;6.0;2021-08-06T13:00:00+02:00;United Kingdom
5511;GB;Stockbridge;Chilbolton Observatory;51.149617,-1.438228;PM2.5;DEFRA;µg/m³;4.0;2021-08-06T13:00:00+02:00;United Kingdom
5512;GB;Willenhall;Walsall Woodlands;52.605621,-2.030523;NO2;DEFRA;µg/m³;3.0;2021-08-06T13:00:00+02:00;United Kingdom
5513;GB;Willenhall;Walsall Woodlands;52.605621,-2.030523;O3;DEFRA;µg/m³;38.0;2021-08-06T13:00:00+02:00;United Kingdom
5514;GB;Birmingham;Birmingham Acocks Green;52.437165,-1.829999;NO2;DEFRA;µg/m³;3.0;2021-08-06T13:00:00+02:00;United Kingdom
5515;GB;York;York Fishergate;53.951889,-1.075861;NO2;DEFRA;µg/m³;17.0;2021-08-06T13:00:00+02:00;United Kingdom
